"","week","deaths","age","year","weekno","reg"
"402",2017-06-23,9627,"Total",2017,25,"England & Wales"
"403",2010-07-23,8259,"Total",2010,30,"England & Wales"
"404",2013-08-23,8573,"Total",2013,34,"England & Wales"
"405",2019-08-23,8994,"Total",2019,34,"England & Wales"
"406",2011-09-23,8526,"Total",2011,38,"England & Wales"
"407",2016-09-23,8945,"Total",2016,39,"England & Wales"
"408",2015-10-23,9710,"Total",2015,43,"England & Wales"
"409",2012-11-23,9668,"Total",2012,47,"England & Wales"
"410",2018-11-23,9957,"Total",2018,47,"England & Wales"
"411",2011-12-23,11144,"Total",2011,51,"England & Wales"
"412",2016-12-23,11486,"Total",2016,52,"England & Wales"
"413",2014-01-24,10374,"Total",2014,4,"England & Wales"
"414",2020-01-24,11853,"Total",2020,4,"England & Wales"
"415",2012-02-24,11081,"Total",2012,8,"England & Wales"
"416",2017-02-24,11793,"Total",2017,8,"England & Wales"
"417",2017-03-24,10325,"Total",2017,12,"England & Wales"
"418",2015-04-24,10597,"Total",2015,17,"England & Wales"
"419",2020-04-24,21997,"Total",2020,17,"England & Wales"
"420",2013-05-24,9528,"Total",2013,21,"England & Wales"
"421",2019-05-24,10284,"Total",2019,21,"England & Wales"
"422",2011-06-24,8705,"Total",2011,25,"England & Wales"
"423",2016-06-24,9361,"Total",2016,26,"England & Wales"
"424",2015-07-24,8791,"Total",2015,30,"England & Wales"
"425",2012-08-24,8977,"Total",2012,34,"England & Wales"
"426",2018-08-24,8978,"Total",2018,34,"England & Wales"
"427",2010-09-24,8939,"Total",2010,39,"England & Wales"
"428",2014-10-24,9603,"Total",2014,43,"England & Wales"
"429",2017-11-24,10612,"Total",2017,47,"England & Wales"
"430",2010-12-24,11483,"Total",2010,52,"England & Wales"
"431",2013-01-25,11261,"Total",2013,4,"England & Wales"
"432",2019-01-25,11740,"Total",2019,4,"England & Wales"
"433",2011-02-25,9433,"Total",2011,8,"England & Wales"
"434",2011-03-25,9696,"Total",2011,12,"England & Wales"
"435",2016-03-25,9626,"Total",2016,13,"England & Wales"
"436",2014-04-25,9357,"Total",2014,17,"England & Wales"
"437",2012-05-25,9602,"Total",2012,21,"England & Wales"
"438",2018-05-25,9636,"Total",2018,21,"England & Wales"
"439",2010-06-25,8461,"Total",2010,26,"England & Wales"
"440",2014-07-25,8963,"Total",2014,30,"England & Wales"
"441",2017-08-25,9382,"Total",2017,34,"England & Wales"
"442",2015-09-25,9526,"Total",2015,39,"England & Wales"
"443",2013-10-25,9235,"Total",2013,43,"England & Wales"
"444",2019-10-25,10021,"Total",2019,43,"England & Wales"
"445",2011-11-25,9161,"Total",2011,47,"England & Wales"
"446",2016-11-25,10602,"Total",2016,48,"England & Wales"
"447",2015-12-25,8630,"Total",2015,52,"England & Wales"
"448",2018-01-26,13935,"Total",2018,4,"England & Wales"
"449",2010-02-26,10294,"Total",2010,9,"England & Wales"
"450",2016-02-26,11056,"Total",2016,9,"England & Wales"
"451",2010-03-26,9613,"Total",2010,13,"England & Wales"
"452",2013-04-26,10625,"Total",2013,17,"England & Wales"
"453",2019-04-26,10059,"Total",2019,17,"England & Wales"
"454",2017-05-26,10035,"Total",2017,21,"England & Wales"
"455",2015-06-26,9183,"Total",2015,26,"England & Wales"
"456",2013-07-26,8476,"Total",2013,30,"England & Wales"
"457",2019-07-26,9112,"Total",2019,30,"England & Wales"
"458",2011-08-26,8464,"Total",2011,34,"England & Wales"
"459",2016-08-26,9318,"Total",2016,35,"England & Wales"
"460",2014-09-26,9047,"Total",2014,39,"England & Wales"
